year,month,province,count,TMAX,TMIN,PPT,TAVG,WS,SOIL,Population,dengue_rate,CCA_1,GPP,GPPperCapita
2017,4,Kalasin,10.0,34.55535714,23.45470779,90.28100649,29.005032465,1.827256494,42.65795455,985635.0,1.014574360691331,46,55474,0.056282498084990897
2017,5,Kalasin,48.0,32.97646104,24.32613636,215.7362013,28.6512987,1.399951299,98.64983766,985980.0,4.868252905738453,46,55474,0.05626280451936145
2017,6,Kalasin,160.0,32.4336039,24.74220779,248.6707792,28.587905845,1.694545455,201.7313312,985939.0,16.228184502286652,46,55474,0.05626514419249061
2017,7,Kalasin,157.0,30.67662338,24.62613636,317.9969156,27.65137987,1.743847403,294.5894481,985589.0,15.929560902161043,46,55474,0.05628512493544469
2017,8,Kalasin,102.0,31.66607143,24.61655844,263.8269481,28.141314935,1.441282468,294.5894481,985412.0,10.351000393743936,46,55474,0.056295234886524624
2017,9,Kalasin,47.0,31.99058442,24.38603896,199.2566558,28.18831169,1.14737013,294.5894481,985580.0,4.768765599951298,46,55474,0.056285638913127295
2017,10,Kalasin,34.0,31.31753247,22.57548701,114.8314935,26.94650974,1.552353896,285.6402597,985591.0,3.4497068256508023,46,55474,0.05628501071945665
2017,11,Kalasin,4.0,30.83668831,20.08116883,15.35714286,25.45892857,2.09711039,218.6818182,986010.0,0.4056753988296265,46,55474,0.05626109268668675
2017,12,Kalasin,2.0,29.04366883,17.17256494,9.958766234,23.108116885,2.657548701,160.1532468,986005.0,0.20283872799833672,46,55474,0.05626137798489866
2017,1,Kamphaeng Phet,4.0,31.37392,19.9544,15.93552,25.66416,0.871776,171.17536,729534.0,0.5482952131086419,62,110824,0.15191067174388034
2017,2,Kamphaeng Phet,7.0,33.74816,19.18736,9.41664,26.46776,1.246144,119.01472,729344.0,0.9597665847665847,62,110824,0.1519502457002457
2017,3,Kamphaeng Phet,16.0,35.51616,22.90512,46.91488,29.21064,1.2068,84.96976,729225.0,2.1941101854708767,62,110824,0.15197504199664028
2017,4,Kamphaeng Phet,19.0,35.65936,24.24672,53.26048,29.95304,1.250528,64.60208,729362.0,2.6050164390247916,62,110824,0.151946495704465
2017,5,Kamphaeng Phet,27.0,33.3352,24.1464,340.01008,28.7408,1.090416,241.41136,729360.0,3.7018756169792697,62,110824,0.15194691236152244
2017,6,Kamphaeng Phet,84.0,32.2936,23.93328,244.1904,28.11344,1.052704,277.1232,729325.0,11.517499057347548,62,110824,0.15195420422993863
2017,7,Kamphaeng Phet,149.0,31.27264,23.7184,154.11168,27.49552,1.263328,279.91648,729378.0,20.428364990443914,62,110824,0.15194316253026552
