CCA_1,ID_1,ADM1_EN,LATITUDE,LONGITIDE,Month,Year,Population
15.0,2.0,Ang Thong,14.58330306,100.4499997,11,2005,283712.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,12,2005,283778.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,1,2006,283620.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,2,2006,283543.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,3,2006,283546.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,4,2006,283596.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,5,2006,283627.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,6,2006,283772.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,7,2006,283857.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,8,2006,283926.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,9,2006,284075.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,10,2006,284064.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,11,2006,284030.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,12,2006,283943.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,1,2007,283865.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,2,2007,283824.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,3,2007,283960.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,4,2007,284135.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,5,2007,284404.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,6,2007,284467.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,7,2007,284153.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,8,2007,284286.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,9,2007,284464.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,10,2007,284579.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,11,2007,284429.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,12,2007,284406.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,1,2008,284388.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,2,2008,284437.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,3,2008,284550.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,4,2008,284671.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,5,2008,284798.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,6,2008,284778.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,7,2008,284723.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,8,2008,284830.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,9,2008,284931.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,10,2008,285044.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,11,2008,284987.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,12,2008,284831.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,1,2009,284822.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,2,2009,284857.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,3,2009,284626.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,4,2009,284754.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,5,2009,284800.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,6,2009,284738.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,7,2009,284553.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,8,2009,284642.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,9,2009,284798.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,10,2009,284914.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,11,2009,284909.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,12,2009,284807.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,1,2010,284787.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,2,2010,284832.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,3,2010,284849.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,4,2010,284853.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,5,2010,284761.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,6,2010,284705.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,7,2010,284595.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,8,2010,284677.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,9,2010,284780.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,10,2010,284906.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,11,2010,284993.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,12,2010,284970.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,1,2011,284899.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,2,2011,284870.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,3,2011,284831.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,4,2011,284764.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,5,2011,284233.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,6,2011,284153.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,7,2011,284125.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,8,2011,284247.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,9,2011,284193.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,10,2011,284313.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,11,2011,283599.0
15.0,2.0,Ang Thong,14.58330306,100.4499997,12,2011,284061.0
