year,month,province,vap
2011,1,Phetchabun,1.8106672185430464
2011,2,Phetchabun,1.9764884105960263
2011,3,Phetchabun,1.948185430463576
2011,4,Phetchabun,2.414693708609272
2011,5,Phetchabun,2.679900662251656
2011,6,Phetchabun,2.797950331125828
2011,7,Phetchabun,2.755153973509934
2011,8,Phetchabun,2.8184403973509933
2011,9,Phetchabun,2.822889072847682
2011,10,Phetchabun,2.6557317880794704
2011,11,Phetchabun,2.249682119205298
2011,12,Phetchabun,1.827182119205298
2011,1,Phetchaburi,2.2404328859060403
2011,2,Phetchaburi,2.4649496644295303
2011,3,Phetchaburi,2.358902684563758
2011,4,Phetchaburi,2.6327046979865774
2011,5,Phetchaburi,2.771355704697987
2011,6,Phetchaburi,2.828543624161074
2011,7,Phetchaburi,2.699681208053691
2011,8,Phetchaburi,2.728775167785235
2011,9,Phetchaburi,2.7611040268456373
2011,10,Phetchaburi,2.77305033557047
2011,11,Phetchaburi,2.5876241610738253
2011,12,Phetchaburi,2.195171140939597
2011,1,Phichit,2.0520046728971963
2011,2,Phichit,2.239485981308411
2011,3,Phichit,2.214775700934579
2011,4,Phichit,2.633172897196262
2011,5,Phichit,2.8806261682243
2011,6,Phichit,3.0284205607476635
2011,7,Phichit,2.947443925233645
2011,8,Phichit,3.0210140186915893
2011,9,Phichit,3.0805467289719624
2011,10,Phichit,2.9660186915887854
2011,11,Phichit,2.556514018691589
2011,12,Phichit,2.079565420560748
2011,1,Phitsanulok,1.8467485265225927
2011,2,Phitsanulok,1.9825461689587427
2011,3,Phitsanulok,1.9560058939096268
2011,4,Phitsanulok,2.425247544204322
2011,5,Phitsanulok,2.6919292730844795
2011,6,Phitsanulok,2.848599214145384
2011,7,Phitsanulok,2.802516699410609
2011,8,Phitsanulok,2.8589980353634576
2011,9,Phitsanulok,2.86794695481336
2011,10,Phitsanulok,2.725664047151277
2011,11,Phitsanulok,2.3378487229862475
2011,12,Phitsanulok,1.9020117878192533
2011,1,Phra Nakhon Si Ayutthaya,2.2014098360655736
2011,2,Phra Nakhon Si Ayutthaya,2.4948442622950817
2011,3,Phra Nakhon Si Ayutthaya,2.4078032786885246
2011,4,Phra Nakhon Si Ayutthaya,2.7459262295081968
2011,5,Phra Nakhon Si Ayutthaya,2.891631147540984
2011,6,Phra Nakhon Si Ayutthaya,2.96233606557377
2011,7,Phra Nakhon Si Ayutthaya,2.8280737704918035
2011,8,Phra Nakhon Si Ayutthaya,2.868688524590164
2011,9,Phra Nakhon Si Ayutthaya,2.984286885245902
2011,10,Phra Nakhon Si Ayutthaya,2.920967213114754
2011,11,Phra Nakhon Si Ayutthaya,2.628188524590164
2011,12,Phra Nakhon Si Ayutthaya,2.1629836065573773
2011,1,Phrae,1.830468944099379
2011,2,Phrae,1.823928571428572
2011,3,Phrae,1.785919254658385
2011,4,Phrae,2.299773291925466
2011,5,Phrae,2.6223695652173915
2011,6,Phrae,2.8008571428571427
2011,7,Phrae,2.7653788819875778
2011,8,Phrae,2.806170807453416
2011,9,Phrae,2.8359844720496894
2011,10,Phrae,2.6853198757763974
2011,11,Phrae,2.2652857142857146
2011,12,Phrae,1.9006459627329195
2011,1,Phuket,2.701375
2011,2,Phuket,2.7757083333333337
2011,3,Phuket,2.7325
2011,4,Phuket,3.0171666666666668
2011,5,Phuket,3.145833333333333
2011,6,Phuket,3.1491666666666664
2011,7,Phuket,3.053333333333333
2011,8,Phuket,3.0212916666666665
2011,9,Phuket,2.985
2011,10,Phuket,3.0071250000000003
2011,11,Phuket,2.986708333333333
2011,12,Phuket,2.7990833333333334
